"Advanced configuration","Configuration avancée"
"PDF format A4 : impression bureautique en PDF, de dimension A4, et de résolution 300dpi","PDF format A4 : impression bureautique en PDF, de dimension A4, et de résolution 300dpi"
"PDF format 10x15cm : impression bureautique en PDF, de dimension 10cm par 15cm, et de résolution 300dpi","PDF format 10x15cm : impression bureautique en PDF, de dimension 10cm par 15cm, et de résolution 300dpi"
"La Poste Colissimo","La Poste Colissimo"
"La Poste Colissimo Advanced Setup","La Poste Colissimo Configuration Avancée"
"General configuration","Configuration générale"
ID,ID
"ID of your account for La Poste webservices","Identifiant de votre compte pour les webservices La Poste"
"Password","Mot de passe"
"Password to connect to La Poste webservices and use the module","Mot de passe pour se connecter aux webservies de La Poste et utiliser le module"
Labels,Etiquettes
"Outward label print format","Format d'impression des étiquettes aller"
"Return label print format","Format d'impression des étiquettes retour"
(none),(aucun)
R1,R1
R2,R2
R3,R3
"Delegate label generation to ColiShip?","Déléguer la génération des étiquettes à ColiShip ?"
"If enabled, this module will not automatically generate label for each Colissimo shipment.","Si activé, ce module ne générera pas d'étiquette pour les livraisons Colissimo."
"Order status after label generation","Statut des commandes après generation de l'étiquette."
"Use cash on delivery?","Utiliser le Contre-Remboursement ?"
"If enabled, each label generation will use cash on delivery feature by default.","Si activé, les étiquettes automatiquement générées utiliseront le mode Contre-Remboursement."
"Average preparation delay","Délai moyen de préparation"
"Your average delay for preparation of a shipment, in days.","Votre délai moyen de préparation d'une livraison, en jours."
"Registered mail level","Niveau de recommandation"
"Use Customs Declarations?","Générer la déclaration douanes (CN23) ?"
"If enabled, each label generation will ask Colissimo to generate and handle the Customs Declarations by default.","Si actif, chaque étiquette le nécessitant sera accompagné du formulaire CN23 correspondant."
"Check IDs","Vérifier les identifiants"
"Bad credentials.","Les identifiants ne sont pas corrects."
"Credentials are valid.","Les identifiants sont corrects."
"ID validation","Validation des identifiants"
"Check that IDs are valid.","Vérifie que les identifiants sont corrects."
"Automatically create return label at the same time as the outward label", "Créer automatiquement l'étiquette de retour lors de la génération de l'étiquette aller"
"If you don't activate this option, you can still manually create return labels on order shipping page", "Si vous n'activez pas cette option, vous pouvez toujours créer des étiquettes de retour sur la page d'expédition de la commande"
"Show service information on return label", "Afficher le nom du service de retour sur l'étiquette de retour"
"Service information", "Nom du service de retour"
"Show order reference on return label", "Afficher le numéro de commande sur l'étiquette de retour"
"Area","Zone"
"Cart weight/price starting from","Poids/prix panier à partir de"
"Price","Prix"
"Configure the shipment prices to apply for each destination and cart weight / price you want to enable","Configurez les prix de livraison à appliquer par destination et tranche de poids / prix du panier que vous voulez activer"
"Colissimo Domicile without signature","Colissimo Domicile sans signature"
"Colissimo Domicile with signature","Colissimo Domicile avec signature"
"Colissimo Point Retrait","Colissimo Point Retrait"
"Colissimo International","Colissimo International"
"Enable the Colissimo Domicile without signature mode","Activer la méthode Colissimo Domicile sans signature"
"Enable the Colissimo Domicile with signature mode","Activer la méthode Colissimo Domicile avec signature"
